"Lab","Diet","Sex","Population","Line","ReplicateVial","Observation_count","Batch_count","Batch_ids"
"Bergland","S","F","VA","VA22",NA,1,1,"3"
"Bergland","S","F","VA","VA26",NA,1,1,"1"
"Bergland","S","F","VA","VA30",NA,1,1,"1"
"Bergland","S","F","VA","VA34",NA,1,1,"2"
"Bergland","S","F","VA","VA35",NA,1,1,"2"
"Bergland","S","F","VA","VA44",NA,1,1,"2"
"Bergland","S","F","VA","VA46",NA,1,1,"3"
"Bergland","S","F","VA","VA47",NA,1,1,"3"
"Bergland","S","F","VA","VA48",NA,1,1,"1"
"Bergland","S","F","VA","VA55",NA,2,2,"1; 2"
"Bergland","S","F","VA","VA57",NA,1,1,"2"
"Bergland","S","F","VA","VA6",NA,1,1,"2"
"Bergland","S","F","VA","VA66",NA,1,1,"3"
"Bergland","S","F","VA","VA67",NA,1,1,"2"
"Bergland","S","F","VA","VA71",NA,1,1,"2"
"Bergland","S","F","YE","YE11",NA,1,1,"2"
"Bergland","S","F","YE","YE13",NA,1,1,"3"
"Bergland","S","F","YE","YE14",NA,1,1,"2"
"Bergland","S","F","YE","YE15",NA,1,1,"3"
"Bergland","S","F","YE","YE19",NA,1,1,"2"
"Bergland","S","F","YE","YE20",NA,1,1,"2"
"Bergland","S","F","YE","YE21",NA,1,1,"3"
"Bergland","S","F","YE","YE22",NA,1,1,"2"
"Bergland","S","F","YE","YE23",NA,1,1,"1"
"Bergland","S","F","YE","YE24",NA,1,1,"2"
"Bergland","S","F","YE","YE26",NA,1,1,"1"
"Bergland","S","F","YE","YE27",NA,1,1,"2"
"Bergland","S","F","YE","YE33",NA,1,1,"2"
"Bergland","S","F","YE","YE40",NA,1,1,"1"
"Bergland","S","F","YE","YE41",NA,1,1,"3"
"Bergland","S","F","YE","YE48",NA,3,3,"1; 2; 3"
"Bergland","S","F","YE","YE49",NA,1,1,"1"
"Bergland","S","F","YE","YE51",NA,3,3,"1; 2; 3"
"Bergland","S","F","YE","YE69",NA,1,1,"1"
"Bergland","S","F","YE","YE80",NA,1,1,"1"
"Flatt","S","F","AK","AK1",NA,1,1,"1"
"Flatt","S","F","AK","AK10",NA,1,1,"1"
"Flatt","S","F","AK","AK11",NA,1,1,"1"
"Flatt","S","F","AK","AK12",NA,1,1,"1"
"Flatt","S","F","AK","AK13",NA,1,1,"1"
"Flatt","S","F","AK","AK14",NA,1,1,"1"
"Flatt","S","F","AK","AK15",NA,1,1,"1"
"Flatt","S","F","AK","AK16",NA,1,1,"1"
"Flatt","S","F","AK","AK17",NA,1,1,"1"
"Flatt","S","F","AK","AK18",NA,1,1,"1"
"Flatt","S","F","AK","AK2",NA,1,1,"1"
"Flatt","S","F","AK","AK20",NA,1,1,"1"
"Flatt","S","F","AK","AK21",NA,1,1,"1"
"Flatt","S","F","AK","AK3",NA,1,1,"1"
"Flatt","S","F","AK","AK4",NA,1,1,"1"
"Flatt","S","F","AK","AK5",NA,1,1,"1"
"Flatt","S","F","AK","AK6",NA,1,1,"1"
"Flatt","S","F","AK","AK7",NA,1,1,"1"
"Flatt","S","F","AK","AK8",NA,1,1,"1"
"Flatt","S","F","AK","AK9",NA,1,1,"1"
"Flatt","S","F","GI","GI1",NA,1,1,"1"
"Flatt","S","F","GI","GI10",NA,1,1,"1"
"Flatt","S","F","GI","GI11",NA,1,1,"1"
"Flatt","S","F","GI","GI12",NA,1,1,"1"
"Flatt","S","F","GI","GI13",NA,1,1,"1"
"Flatt","S","F","GI","GI15",NA,1,1,"1"
"Flatt","S","F","GI","GI2",NA,1,1,"1"
"Flatt","S","F","GI","GI3",NA,1,1,"1"
"Flatt","S","F","GI","GI4",NA,1,1,"1"
"Flatt","S","F","GI","GI5",NA,1,1,"1"
"Flatt","S","F","GI","GI6",NA,1,1,"1"
"Flatt","S","F","GI","GI7",NA,1,1,"1"
"Flatt","S","F","GI","GI8",NA,1,1,"1"
"Flatt","S","F","GI","GI9",NA,1,1,"1"
"Flatt","S","F","KA","KA1",NA,1,1,"1"
"Flatt","S","F","KA","KA10",NA,1,1,"1"
"Flatt","S","F","KA","KA11",NA,1,1,"1"
"Flatt","S","F","KA","KA13",NA,1,1,"1"
"Flatt","S","F","KA","KA14",NA,1,1,"1"
"Flatt","S","F","KA","KA15",NA,1,1,"1"
"Flatt","S","F","KA","KA16",NA,1,1,"1"
"Flatt","S","F","KA","KA17",NA,1,1,"1"
"Flatt","S","F","KA","KA18",NA,1,1,"1"
"Flatt","S","F","KA","KA2",NA,1,1,"1"
"Flatt","S","F","KA","KA23",NA,1,1,"1"
"Flatt","S","F","KA","KA24",NA,1,1,"1"
"Flatt","S","F","KA","KA25",NA,1,1,"1"
"Flatt","S","F","KA","KA28",NA,1,1,"1"
"Flatt","S","F","KA","KA29",NA,1,1,"1"
"Flatt","S","F","KA","KA3",NA,1,1,"1"
"Flatt","S","F","KA","KA5",NA,1,1,"1"
"Flatt","S","F","KA","KA6",NA,1,1,"1"
"Flatt","S","F","KA","KA7",NA,1,1,"1"
"Flatt","S","F","KA","KA9",NA,1,1,"1"
"Flatt","S","F","MA","MA12",NA,1,1,"1"
"Flatt","S","F","MA","MA13",NA,1,1,"1"
"Flatt","S","F","MA","MA16",NA,1,1,"1"
"Flatt","S","F","MA","MA18",NA,1,1,"1"
"Flatt","S","F","MA","MA19",NA,1,1,"1"
"Flatt","S","F","MA","MA20",NA,1,1,"1"
"Flatt","S","F","MA","MA21",NA,1,1,"1"
"Flatt","S","F","MA","MA23",NA,1,1,"1"
"Flatt","S","F","MA","MA26",NA,1,1,"1"
"Flatt","S","F","MA","MA27",NA,1,1,"1"
"Flatt","S","F","MA","MA28",NA,1,1,"1"
"Flatt","S","F","MA","MA30",NA,1,1,"1"
"Flatt","S","F","MA","MA31",NA,1,1,"1"
"Flatt","S","F","MA","MA32",NA,1,1,"1"
"Flatt","S","F","MA","MA33",NA,1,1,"1"
"Flatt","S","F","MA","MA5",NA,1,1,"1"
"Flatt","S","F","MA","MA6",NA,1,1,"1"
"Flatt","S","F","MA","MA7",NA,1,1,"1"
"Flatt","S","F","MA","MA9",NA,1,1,"1"
"Flatt","S","F","MU","MU1",NA,1,1,"1"
"Flatt","S","F","MU","MU10",NA,1,1,"1"
"Flatt","S","F","MU","MU11",NA,1,1,"1"
"Flatt","S","F","MU","MU12",NA,1,1,"1"
"Flatt","S","F","MU","MU13",NA,1,1,"1"
"Flatt","S","F","MU","MU14",NA,1,1,"1"
"Flatt","S","F","MU","MU15",NA,1,1,"1"
"Flatt","S","F","MU","MU16",NA,1,1,"1"
"Flatt","S","F","MU","MU17",NA,1,1,"1"
"Flatt","S","F","MU","MU18",NA,1,1,"1"
"Flatt","S","F","MU","MU19",NA,1,1,"1"
"Flatt","S","F","MU","MU2",NA,1,1,"1"
"Flatt","S","F","MU","MU20",NA,1,1,"1"
"Flatt","S","F","MU","MU3",NA,1,1,"1"
"Flatt","S","F","MU","MU4",NA,1,1,"1"
"Flatt","S","F","MU","MU5",NA,1,1,"1"
"Flatt","S","F","MU","MU6",NA,1,1,"1"
"Flatt","S","F","MU","MU7",NA,1,1,"1"
"Flatt","S","F","MU","MU8",NA,1,1,"1"
"Flatt","S","F","MU","MU9",NA,1,1,"1"
"Flatt","S","F","RE","RE10",NA,1,1,"1"
"Flatt","S","F","RE","RE11",NA,1,1,"1"
"Flatt","S","F","RE","RE12",NA,1,1,"1"
"Flatt","S","F","RE","RE13",NA,1,1,"1"
"Flatt","S","F","RE","RE16",NA,1,1,"1"
"Flatt","S","F","RE","RE17",NA,1,1,"1"
"Flatt","S","F","RE","RE18",NA,1,1,"1"
"Flatt","S","F","RE","RE2",NA,1,1,"1"
"Flatt","S","F","RE","RE3",NA,1,1,"1"
"Flatt","S","F","RE","RE4",NA,1,1,"1"
"Flatt","S","F","RE","RE5",NA,1,1,"1"
"Flatt","S","F","RE","RE6",NA,1,1,"1"
"Flatt","S","F","RE","RE7",NA,1,1,"1"
"Flatt","S","F","RE","RE8",NA,1,1,"1"
"Flatt","S","F","UM","UM13",NA,1,1,"1"
"Flatt","S","F","UM","UM17",NA,1,1,"1"
"Flatt","S","F","UM","UM18",NA,1,1,"1"
"Flatt","S","F","UM","UM20",NA,1,1,"1"
"Flatt","S","F","UM","UM21",NA,1,1,"1"
"Flatt","S","F","UM","UM23",NA,1,1,"1"
"Flatt","S","F","UM","UM25",NA,1,1,"1"
"Flatt","S","F","UM","UM26",NA,1,1,"1"
"Flatt","S","F","UM","UM28",NA,1,1,"1"
"Flatt","S","F","UM","UM29",NA,1,1,"1"
"Flatt","S","F","UM","UM4",NA,1,1,"1"
"Flatt","S","F","UM","UM5",NA,1,1,"1"
"Flatt","S","F","UM","UM6",NA,1,1,"1"
"Flatt","S","F","UM","UM7",NA,1,1,"1"
"Flatt","S","F","UM","UM8",NA,1,1,"1"
"Flatt","S","F","UM","UM9",NA,1,1,"1"
"Flatt","S","F","VA","VA1",NA,1,1,"1"
"Flatt","S","F","VA","VA11",NA,1,1,"1"
"Flatt","S","F","VA","VA15",NA,1,1,"1"
"Flatt","S","F","VA","VA18",NA,1,1,"1"
"Flatt","S","F","VA","VA22",NA,1,1,"1"
"Flatt","S","F","VA","VA26",NA,1,1,"1"
"Flatt","S","F","VA","VA30",NA,1,1,"1"
"Flatt","S","F","VA","VA34",NA,1,1,"1"
"Flatt","S","F","VA","VA35",NA,1,1,"1"
"Flatt","S","F","VA","VA44",NA,1,1,"1"
"Flatt","S","F","VA","VA46",NA,1,1,"1"
"Flatt","S","F","VA","VA47",NA,1,1,"1"
"Flatt","S","F","VA","VA48",NA,1,1,"1"
"Flatt","S","F","VA","VA55",NA,1,1,"1"
"Flatt","S","F","VA","VA57",NA,1,1,"1"
"Flatt","S","F","VA","VA6",NA,1,1,"1"
"Flatt","S","F","VA","VA66",NA,1,1,"1"
"Flatt","S","F","VA","VA67",NA,1,1,"1"
"Flatt","S","F","VA","VA71",NA,1,1,"1"
"Flatt","S","F","VA","VA9",NA,1,1,"1"
"Flatt","S","F","YE","YE11",NA,1,1,"1"
"Flatt","S","F","YE","YE13",NA,1,1,"1"
"Flatt","S","F","YE","YE14",NA,1,1,"1"
"Flatt","S","F","YE","YE15",NA,1,1,"1"
"Flatt","S","F","YE","YE19",NA,1,1,"1"
"Flatt","S","F","YE","YE20",NA,1,1,"1"
"Flatt","S","F","YE","YE21",NA,1,1,"1"
"Flatt","S","F","YE","YE22",NA,1,1,"1"
"Flatt","S","F","YE","YE23",NA,1,1,"1"
"Flatt","S","F","YE","YE24",NA,1,1,"1"
"Flatt","S","F","YE","YE26",NA,1,1,"1"
"Flatt","S","F","YE","YE27",NA,1,1,"1"
"Flatt","S","F","YE","YE33",NA,1,1,"1"
"Flatt","S","F","YE","YE40",NA,1,1,"1"
"Flatt","S","F","YE","YE41",NA,1,1,"1"
"Flatt","S","F","YE","YE48",NA,1,1,"1"
"Flatt","S","F","YE","YE49",NA,1,1,"1"
"Flatt","S","F","YE","YE51",NA,1,1,"1"
"Flatt","S","F","YE","YE69",NA,1,1,"1"
"Flatt","S","F","YE","YE80",NA,1,1,"1"
"Schlotterer","NS","F","AK","AK1",NA,1,1,"2"
"Schlotterer","NS","F","AK","AK10",NA,1,1,"3"
"Schlotterer","NS","F","AK","AK11",NA,1,1,"3"
"Schlotterer","NS","F","AK","AK12",NA,1,1,"1"
"Schlotterer","NS","F","AK","AK13",NA,3,3,"1; 2; 3"
"Schlotterer","NS","F","AK","AK14",NA,1,1,"2"
"Schlotterer","NS","F","AK","AK15",NA,2,2,"2; 3"
"Schlotterer","NS","F","AK","AK16",NA,1,1,"1"
"Schlotterer","NS","F","AK","AK17",NA,1,1,"1"
"Schlotterer","NS","F","AK","AK18",NA,1,1,"2"
"Schlotterer","NS","F","AK","AK2",NA,1,1,"1"
"Schlotterer","NS","F","AK","AK20",NA,1,1,"2"
"Schlotterer","NS","F","AK","AK21",NA,1,1,"1"
"Schlotterer","NS","F","AK","AK3",NA,1,1,"3"
"Schlotterer","NS","F","AK","AK4",NA,1,1,"1"
"Schlotterer","NS","F","AK","AK5",NA,1,1,"3"
"Schlotterer","NS","F","AK","AK6",NA,1,1,"2"
"Schlotterer","NS","F","AK","AK7",NA,1,1,"2"
"Schlotterer","NS","F","AK","AK8",NA,1,1,"1"
"Schlotterer","NS","F","AK","AK9",NA,3,3,"1; 2; 3"
"Schlotterer","NS","F","GI","GI1",NA,1,1,"3"
"Schlotterer","NS","F","GI","GI10",NA,1,1,"3"
"Schlotterer","NS","F","GI","GI11",NA,1,1,"1"
"Schlotterer","NS","F","GI","GI12",NA,1,1,"1"
"Schlotterer","NS","F","GI","GI13",NA,1,1,"3"
"Schlotterer","NS","F","GI","GI14",NA,1,1,"3"
"Schlotterer","NS","F","GI","GI15",NA,3,3,"1; 2; 3"
"Schlotterer","NS","F","GI","GI2",NA,1,1,"2"
"Schlotterer","NS","F","GI","GI3",NA,1,1,"1"
"Schlotterer","NS","F","GI","GI4",NA,1,1,"1"
"Schlotterer","NS","F","GI","GI5",NA,1,1,"1"
"Schlotterer","NS","F","GI","GI6",NA,1,1,"3"
"Schlotterer","NS","F","GI","GI7",NA,1,1,"3"
"Schlotterer","NS","F","GI","GI8",NA,3,3,"1; 2; 3"
"Schlotterer","NS","F","GI","GI9",NA,1,1,"1"
"Schlotterer","NS","F","KA","KA1",NA,1,1,"3"
"Schlotterer","NS","F","KA","KA10",NA,1,1,"2"
"Schlotterer","NS","F","KA","KA11",NA,1,1,"1"
"Schlotterer","NS","F","KA","KA13",NA,3,3,"1; 2; 3"
"Schlotterer","NS","F","KA","KA14",NA,1,1,"1"
"Schlotterer","NS","F","KA","KA15",NA,1,1,"1"
"Schlotterer","NS","F","KA","KA16",NA,1,1,"1"
"Schlotterer","NS","F","KA","KA17",NA,1,1,"2"
"Schlotterer","NS","F","KA","KA18",NA,1,1,"3"
"Schlotterer","NS","F","KA","KA2",NA,3,3,"1; 2; 3"
"Schlotterer","NS","F","KA","KA23",NA,1,1,"3"
"Schlotterer","NS","F","KA","KA24",NA,1,1,"3"
"Schlotterer","NS","F","KA","KA25",NA,1,1,"3"
"Schlotterer","NS","F","KA","KA28",NA,1,1,"2"
"Schlotterer","NS","F","KA","KA29",NA,1,1,"1"
"Schlotterer","NS","F","KA","KA3",NA,1,1,"1"
"Schlotterer","NS","F","KA","KA5",NA,1,1,"2"
"Schlotterer","NS","F","KA","KA6",NA,1,1,"1"
"Schlotterer","NS","F","KA","KA7",NA,1,1,"3"
"Schlotterer","NS","F","KA","KA9",NA,1,1,"2"
"Schlotterer","NS","F","MA","MA12",NA,1,1,"1"
"Schlotterer","NS","F","MA","MA16",NA,1,1,"1"
"Schlotterer","NS","F","MA","MA18",NA,1,1,"3"
"Schlotterer","NS","F","MA","MA19",NA,1,1,"1"
"Schlotterer","NS","F","MA","MA20",NA,2,2,"2; 3"
"Schlotterer","NS","F","MA","MA21",NA,1,1,"1"
"Schlotterer","NS","F","MA","MA23",NA,1,1,"2"
"Schlotterer","NS","F","MA","MA26",NA,1,1,"1"
"Schlotterer","NS","F","MA","MA27",NA,2,2,"2; 3"
"Schlotterer","NS","F","MA","MA28",NA,1,1,"2"
"Schlotterer","NS","F","MA","MA3",NA,1,1,"3"
"Schlotterer","NS","F","MA","MA30",NA,1,1,"3"
"Schlotterer","NS","F","MA","MA31",NA,1,1,"2"
"Schlotterer","NS","F","MA","MA32",NA,3,3,"1; 2; 3"
"Schlotterer","NS","F","MA","MA33",NA,3,3,"1; 2; 3"
"Schlotterer","NS","F","MA","MA5",NA,1,1,"3"
"Schlotterer","NS","F","MA","MA6",NA,1,1,"2"
"Schlotterer","NS","F","MA","MA7",NA,1,1,"2"
"Schlotterer","NS","F","MA","MA9",NA,1,1,"3"
"Schlotterer","NS","F","MU","MU1",NA,3,3,"1; 2; 3"
"Schlotterer","NS","F","MU","MU10",NA,1,1,"2"
"Schlotterer","NS","F","MU","MU11",NA,1,1,"3"
"Schlotterer","NS","F","MU","MU12",NA,1,1,"2"
"Schlotterer","NS","F","MU","MU13",NA,1,1,"3"
"Schlotterer","NS","F","MU","MU14",NA,1,1,"1"
"Schlotterer","NS","F","MU","MU15",NA,1,1,"2"
"Schlotterer","NS","F","MU","MU16",NA,1,1,"1"
"Schlotterer","NS","F","MU","MU17",NA,1,1,"2"
"Schlotterer","NS","F","MU","MU18",NA,1,1,"3"
"Schlotterer","NS","F","MU","MU19",NA,1,1,"3"
"Schlotterer","NS","F","MU","MU2",NA,1,1,"3"
"Schlotterer","NS","F","MU","MU20",NA,1,1,"1"
"Schlotterer","NS","F","MU","MU3",NA,1,1,"3"
"Schlotterer","NS","F","MU","MU4",NA,1,1,"2"
"Schlotterer","NS","F","MU","MU5",NA,1,1,"2"
"Schlotterer","NS","F","MU","MU6",NA,3,3,"1; 2; 3"
"Schlotterer","NS","F","MU","MU7",NA,1,1,"1"
"Schlotterer","NS","F","MU","MU8",NA,1,1,"3"
"Schlotterer","NS","F","MU","MU9",NA,1,1,"3"
"Schlotterer","NS","F","RE","RE10",NA,1,1,"2"
"Schlotterer","NS","F","RE","RE11",NA,1,1,"1"
"Schlotterer","NS","F","RE","RE12",NA,1,1,"3"
"Schlotterer","NS","F","RE","RE13",NA,1,1,"1"
"Schlotterer","NS","F","RE","RE15",NA,1,1,"3"
"Schlotterer","NS","F","RE","RE16",NA,1,1,"2"
"Schlotterer","NS","F","RE","RE17",NA,1,1,"3"
"Schlotterer","NS","F","RE","RE18",NA,1,1,"3"
"Schlotterer","NS","F","RE","RE2",NA,1,1,"2"
"Schlotterer","NS","F","RE","RE3",NA,1,1,"3"
"Schlotterer","NS","F","RE","RE4",NA,2,2,"2; 3"
"Schlotterer","NS","F","RE","RE5",NA,1,1,"1"
"Schlotterer","NS","F","RE","RE6",NA,1,1,"1"
"Schlotterer","NS","F","RE","RE7",NA,1,1,"3"
"Schlotterer","NS","F","RE","RE8",NA,1,1,"3"
"Schlotterer","NS","F","UM","UM13",NA,1,1,"2"
"Schlotterer","NS","F","UM","UM17",NA,1,1,"3"
"Schlotterer","NS","F","UM","UM18",NA,1,1,"2"
"Schlotterer","NS","F","UM","UM2",NA,1,1,"2"
"Schlotterer","NS","F","UM","UM20",NA,1,1,"2"
"Schlotterer","NS","F","UM","UM21",NA,1,1,"2"
"Schlotterer","NS","F","UM","UM22",NA,1,1,"2"
"Schlotterer","NS","F","UM","UM23",NA,1,1,"2"
"Schlotterer","NS","F","UM","UM26",NA,1,1,"3"
"Schlotterer","NS","F","UM","UM28",NA,1,1,"1"
"Schlotterer","NS","F","UM","UM29",NA,1,1,"3"
"Schlotterer","NS","F","UM","UM4",NA,3,3,"1; 2; 3"
"Schlotterer","NS","F","UM","UM5",NA,1,1,"1"
"Schlotterer","NS","F","UM","UM7",NA,1,1,"2"
"Schlotterer","NS","F","UM","UM9",NA,1,1,"2"
"Schlotterer","NS","F","VA","VA1",NA,1,1,"3"
"Schlotterer","NS","F","VA","VA11",NA,1,1,"3"
"Schlotterer","NS","F","VA","VA18",NA,1,1,"1"
"Schlotterer","NS","F","VA","VA22",NA,1,1,"3"
"Schlotterer","NS","F","VA","VA26",NA,3,3,"1; 2; 3"
"Schlotterer","NS","F","VA","VA30",NA,1,1,"2"
"Schlotterer","NS","F","VA","VA34",NA,1,1,"3"
"Schlotterer","NS","F","VA","VA44",NA,1,1,"1"
"Schlotterer","NS","F","VA","VA46",NA,1,1,"2"
"Schlotterer","NS","F","VA","VA47",NA,1,1,"2"
"Schlotterer","NS","F","VA","VA48",NA,1,1,"1"
"Schlotterer","NS","F","VA","VA57",NA,1,1,"2"
"Schlotterer","NS","F","VA","VA6",NA,1,1,"2"
"Schlotterer","NS","F","VA","VA67",NA,1,1,"3"
"Schlotterer","NS","F","VA","VA71",NA,1,1,"3"
"Schlotterer","NS","F","VA","VA9",NA,1,1,"1"
"Schlotterer","NS","F","YE","YE11",NA,1,1,"3"
"Schlotterer","NS","F","YE","YE13",NA,1,1,"3"
"Schlotterer","NS","F","YE","YE14",NA,3,3,"1; 2; 3"
"Schlotterer","NS","F","YE","YE15",NA,1,1,"3"
"Schlotterer","NS","F","YE","YE19",NA,3,3,"1; 2; 3"
"Schlotterer","NS","F","YE","YE20",NA,1,1,"3"
"Schlotterer","NS","F","YE","YE21",NA,1,1,"3"
"Schlotterer","NS","F","YE","YE22",NA,1,1,"3"
"Schlotterer","NS","F","YE","YE23",NA,1,1,"3"
"Schlotterer","NS","F","YE","YE24",NA,1,1,"2"
"Schlotterer","NS","F","YE","YE26",NA,1,1,"3"
"Schlotterer","NS","F","YE","YE27",NA,3,3,"1; 2; 3"
