"Supervisor.PI","Sex","Population","Line","Mean","SD","Median","Min","Max","SE","CV","Mode"
"Schmidt","F","MA","MA31",6.7,3.40098025084926,7,2,12,1.07548438699345,0.507608992664068,7
"Schmidt","F","MA","MA32",17.2,3.22490309931942,17,12,22,1.01980390271856,0.187494366239501,20
"Schmidt","F","MA","MA33",7.6,3.3065591380366,7,3,13,1.04562580942387,0.435073570794289,7
"Schmidt","F","MA","MA5",15.8,4.18462795372672,16.5,10,23,1.32329554941861,0.264849870489033,19
"Schmidt","F","MA","MA6",11.1,4.5570458267025,11,5,19,1.44106442141449,0.410544669072297,13
"Schmidt","F","MA","MA7",9.3,3.62246079650591,8.5,5,17,1.14552268516264,0.389511913602786,7
"Schmidt","F","MA","MA9",11.9,7.4751439971266,9,5,26,2.36384808686552,0.628163361103075,9
"Schmidt","F","MU","MU1",13.9,6.88718616949864,12.5,4,26,2.17791949652262,0.495481019388391,20
"Schmidt","F","MU","MU10",12.3,5.31350480693613,11.5,5,22,1.68027775481714,0.431992260726514,8
"Schmidt","F","MU","MU11",8.2,3.5213633723318,8,3,15,1.113552872566,0.429434557601439,8
"Schmidt","F","MU","MU12",8.9,4.72463990397387,9.5,2,18,1.49406232206766,0.530858416176839,5
"Schmidt","F","MU","MU13",5,3.36650164612069,4,1,11,1.06458129484475,0.673300329224139,3
"Schmidt","F","MU","MU14",15,5.75422550054402,13,9,24,1.81964587519416,0.383615033369602,12
"Schmidt","F","MU","MU15",7,3.16227766016838,8,3,12,1,0.451753951452626,8
"Schmidt","F","MU","MU16",7.9,3.63470921960906,8.5,3,14,1.14939597663778,0.460089774634058,11
"Schmidt","F","MU","MU17",8.1,3.03498123735734,7.5,5,13,0.959745336592531,0.374689041649055,5
"Schmidt","F","MU","MU18",12.8,2.85968141193696,14,8,16,0.904310664416702,0.223412610307575,15
"Schmidt","F","MU","MU19",4.5,1.64991582276861,5,2,7,0.521749194749951,0.366647960615247,5
"Schmidt","F","MU","MU2",8,2.70801280154532,9,4,11,1.02353263143832,0.338501600193165,10
"Schmidt","F","MU","MU20",12.4,4.55094617756694,10.5,8,20,1.43913554299486,0.367011788513463,9
"Schmidt","F","MU","MU3",7.9,3.84274207652123,6.5,3,14,1.21518174223721,0.486423047660915,14
"Schmidt","F","MU","MU4",7.9,3.24722103412201,6.5,4,12,1.02686145338329,0.411040637230635,12
"Schmidt","F","MU","MU5",10.3,2.79085809185793,10,4,14,0.882546819658248,0.270957096296886,10
"Schmidt","F","MU","MU6",18.1,3.10733898304571,18,12,22,0.982626864865578,0.171676186908603,22
"Schmidt","F","MU","MU7",6.7,2.26323269290239,6,5,12,0.715697018452796,0.33779592431379,5
"Schmidt","F","MU","MU8",10.3,3.23350515007407,10,4,16,1.02252411001186,0.313932538842143,10
"Schmidt","F","MU","MU9",17.8,3.82390143992,18.5,12,22,1.20922380981447,0.214825923591011,22
"Schmidt","F","RE","RE10",4.7,1.05934990547138,5,3,6,0.334995854037363,0.225393596908804,5
"Schmidt","F","RE","RE11",22,3.05505046330389,23,17,25,0.966091783079296,0.138865930150177,25
"Schmidt","F","RE","RE12",16.5,4.08928138212843,15,10,22,1.29314431608472,0.247835235280511,15
"Schmidt","F","RE","RE13",14.8571428571429,1.3451854182691,15,13,17,0.508432297715777,0.0905413262296509,15
"Schmidt","F","RE","RE15",3.9,1.52388392675499,3.5,2,7,0.481894409826699,0.390739468398717,3
"Schmidt","F","RE","RE16",11.4,2.75680975041804,11.5,7,15,0.871779788708135,0.241825416703337,15
"Schmidt","F","RE","RE17",8.375,4.98390265898981,8.5,0,18,1.76207568347268,0.595092854804754,9
"Schmidt","F","RE","RE18",16.8,2.44040069569642,17,13,21,0.771722460186015,0.145261946172406,18
"Schmidt","F","RE","RE2",15.8,3.19026296373477,15.5,10,20,1.0088497300281,0.201915377451568,20
"Schmidt","F","RE","RE3",3.33333333333333,1.211060141639,3.5,2,5,0.494413232473044,0.363318042491699,4
"Schmidt","F","RE","RE4",6.7,3.19895816373602,5.5,3,11,1.01159939369957,0.47745644234866,11
"Schmidt","F","RE","RE5",5,0.707106781186548,5,4,6,0.316227766016838,0.14142135623731,5
"Schmidt","F","RE","RE6",12.9,3.66515120197426,12.5,7,19,1.15902257671425,0.284120248215059,14
"Schmidt","F","RE","RE7",11.7,2.49666444147653,11.5,7,16,0.789514618821801,0.213390123203123,13
"Schmidt","F","UM","UM13",11.6,3.13404247294484,11,8,19,0.991071249821234,0.270176075253866,11
"Schmidt","F","UM","UM17",15.9,4.38304815295373,16,8,22,1.38604152575279,0.275663405846147,15
"Schmidt","F","UM","UM18",14.8,3.32665998663324,16,9,18,1.05198225587063,0.224774323421165,18
"Schmidt","F","UM","UM2",12,3.16227766016838,12.5,8,17,1,0.263523138347365,9
"Schmidt","F","UM","UM20",14,4.14728827066554,14.5,8,20,1.69312334656004,0.29623487647611,20
"Schmidt","F","UM","UM21",14,3.4960294939005,14.5,9,20,1.10554159678513,0.249716392421465,15
"Schmidt","F","UM","UM22",8.1,4.84079883214882,7,2,16,1.53079500042734,0.597629485450471,13
"Schmidt","F","UM","UM23",8.3,2.98328677803526,7.5,5,15,0.94339811320566,0.359432141931959,7
"Schmidt","F","UM","UM25",17.1,2.68535120814971,16.5,13,22,0.8491826135238,0.157038082347936,16
"Schmidt","F","UM","UM28",19.2,3.8528488738133,20,13,24,1.21837779216647,0.200669212177776,23
"Schmidt","F","UM","UM29",11.2,3.35989417822777,11,6,17,1.06249183003395,0.29999055162748,11
"Schmidt","F","UM","UM4",15.5,5.1478150704935,16,6,22,1.62788205960997,0.332117101322161,20
"Schmidt","F","UM","UM5",10.6,2.22111083319436,10.5,7,14,0.702376916856849,0.209538757848524,12
"Schmidt","F","UM","UM7",21.9,1.72884033065199,22,19,24,0.546707315561891,0.0789424808516891,24
"Schmidt","F","UM","UM9",14.1,3.03498123735734,13.5,10,21,0.959745336592531,0.215246896266478,13
"Schmidt","F","VA","VA11",4.1,2.23358207570013,3.5,1,7,0.706320670013903,0.544776116024421,7
"Schmidt","F","VA","VA15",10.1,2.42441287279576,10.5,7,13,0.766666666666667,0.240040878494629,13
"Schmidt","F","VA","VA18",11.8,2.29975844142138,11.5,9,16,0.727247474309048,0.194894783171303,14
"Schmidt","F","VA","VA22",21.9,1.52388392675499,21.5,20,24,0.481894409826699,0.0695837409477167,21
"Schmidt","F","VA","VA26",4.6,5.48128127762519,3,2,20,1.73333333333333,1.19158288644026,2
"Schmidt","F","VA","VA30",10.1,3.81371792932362,10,5,15,1.20600350100837,0.377595834586497,15
"Schmidt","F","VA","VA34",16.6,3.27278338896895,17.5,9,20,1.03494497975067,0.197155625841503,18
"Schmidt","F","VA","VA35",4.3,4.66785699104941,3,0,15,1.47610598836564,1.08554813745335,1
"Schmidt","F","VA","VA44",17.625,3.5431019500674,18,12,23,1.25267570766397,0.201027060996732,20
"Schmidt","F","VA","VA46",7.3,4.13790070231539,6.5,3,18,1.3085190950927,0.566835712645944,5
"Schmidt","F","VA","VA47",4.4,3.40587727318528,3.5,1,13,1.0770329614269,0.774063016633018,4
"Schmidt","F","VA","VA48",7.7,3.68329562574967,8.5,3,13,1.16476034731041,0.478350081266191,4
"Schmidt","F","VA","VA55",10,3.85861230093008,9,5,18,1.22020034784821,0.385861230093007,9
"Schmidt","F","VA","VA57",14.7,2.71006354989038,15,9,18,0.856997342145496,0.184358064618393,15
"Schmidt","F","VA","VA66",10.5,6.02310366653088,11,2,18,1.90467261695489,0.573628920621989,18
"Schmidt","F","VA","VA67",8.6,3.27278338896895,9,4,14,1.03494497975067,0.380556208019646,9
"Schmidt","F","VA","VA71",10.2,3.04776785350999,10.5,6,14,0.963788819653397,0.29880076995196,13
"Schmidt","F","YE","YE11",7.71428571428571,3.3523268393901,8,2,11,1.26706044720477,0.434560886587606,11
"Schmidt","F","YE","YE13",11.4,6.43255608430877,9,3,20,2.03415284031898,0.56425930564112,19
"Schmidt","F","YE","YE14",2.4,1.89736659610103,1.5,1,6,0.6,0.790569415042095,1
"Schmidt","F","YE","YE15",6.7,2.71006354989038,6,5,14,0.856997342145496,0.404487096998564,5
"Schmidt","F","YE","YE19",11.2857142857143,2.28868854108532,11,9,16,0.865042958313569,0.202795187184775,11
"Schmidt","F","YE","YE20",15.5,4.16999866773227,16,8,21,1.31866936299017,0.269032172111759,17
"Schmidt","F","YE","YE21",14.9,3.81371792932362,13.5,10,21,1.20600350100837,0.255954223444538,19
"Schmidt","F","YE","YE22",17.5,5.66176258382101,18.5,7,25,1.79040653359944,0.323529290504058,13
"Schmidt","F","YE","YE23",11.8,4.15799096787005,11,7,19,1.31487219488773,0.35237211592119,11
"Schmidt","F","YE","YE24",14.875,4.42194204265178,13,10,21,1.56339260218648,0.297273414632053,12
"Schmidt","F","YE","YE26",11.7142857142857,3.49829890633937,13,6,16,1.32223270256332,0.298635272492385,14
"Schmidt","F","YE","YE27",10.3,2.71006354989038,9,7,15,0.856997342145496,0.263112966008775,9
"Schmidt","F","YE","YE33",4.5,2.87711275027201,3.5,2,9,0.909822937597079,0.639358388949336,2
"Schmidt","F","YE","YE40",16.625,3.50255009141299,17,12,22,1.23833846054184,0.210679704746646,18
"Schmidt","F","YE","YE41",3,1.82574185835055,2.5,1,6,0.577350269189626,0.608580619450185,2
"Schmidt","F","YE","YE48",16.4,3.89301368550838,17.5,12,20,1.23107902084129,0.237378883262706,20
"Schmidt","F","YE","YE49",8.8,4.89444129146071,10,0,15,1.54775823549919,0.556186510393262,13
"Schmidt","F","YE","YE51",5.14285714285714,3.76069902316805,4,1,12,1.42141062443803,0.731247032282677,4
"Schmidt","F","YE","YE69",5.6,3.02581485810939,4,3,11,0.956846672960488,0.540324081805248,4
"Schmidt","F","YE","YE80",15,5.53774924194538,13.5,7,23,1.75119007154183,0.369183282796359,20
